population,individual,sex,species,photo.id,std.length.raw,depth.spine.1,depth.spine.2,spine.length.1,spine.length.2,spine.length.3,spine.length.pelvic,correction,std.length,depth.1,depth.2,spine.1,spine.2,spine.3,spine.pelvic,notes
AL-S-2014,12,,C,20,2038.857,465.155,477.038,237.739,241.868,88.589,312.231,390.046,5.23,1.19,1.22,0.6095152879,0.62,0.227124493,0.80049789,
AL-S-2014,13,,C,21,1885.492,426,417,235.228,240,102.528,318.226,390.046,4.83,1.09,1.07,0.6030775857,0.615,0.2628613035,0.815867872,
AL-S-2014,14,,C,22,1890.467,456.01,444,224.66,231.758,64.9,300,387.186,4.88,1.18,1.15,0.5802379218,0.599,0.167619697,0.7748214037,
AL-S-2014,15,,C,23,2039.79,495.327,495.445,236.677,261.947,99.86,321.602,390.012,5.23,1.27,1.27,0.6068454304,0.672,0.2560434038,0.8245951407,
AL-S-2014,16,,C,24,1869.299,462.243,459.245,212.132,206.63,56.604,306.529,387.012,4.83,1.19,1.19,0.5481277066,0.534,0.1462590307,0.7920400401,
AL-S-2014,4,,C,2,1661.28,312.231,324.014,218.156,230.825,84.853,300.54,393.011,4.23,0.79,0.82,0.5550887889,0.587,0.2159048983,0.7647114203,
AL-S-2014,18,,C,17,1305.055,306.132,318.509,113.842,94.868,48.374,216.749,390.012,3.35,0.78,0.82,0.2918935828,0.243,0.1240320811,0.5557495667,
AL-S-2014,19,,C,18,1306.823,294.138,294.138,148.189,139.169,56.604,241.197,396.011,3.3,0.74,0.74,0.3742042519,0.351,0.1429354235,0.6090664148,
AL2014,34,,B,5252,2354.788,579.031,594.008,261.947,304.644,99.318,252.286,426.011,5.53,1.36,1.39,0.6148831838,0.715,0.2331348252,0.5922053656,
AL2014,35,,B,5533,2292.567,552.073,537.008,216.333,284.542,78.23,279.693,417.011,5.5,1.32,1.29,0.5187704881,0.682,0.1875969699,0.6707089261,
AL2014,36,,B,5254,2317.859,531,516.078,201.246,260.5,91.389,303.579,426,5.44,1.25,1.21,0.4724084507,0.612,0.214528169,0.7126267606,
AL2014,37,,B,5255,2606.233,612.029,639.028,246,222.081,59.397,288.062,423,6.16,1.45,1.51,0.5815602837,0.525,0.1404184397,0.6809976359,
AL2014,38,,B,5256,2056.06,491.314,499.191,214.663,263.454,0,324.222,426.011,4.83,1.15,1.17,0.5038907446,0.618,0,0.7610648551,
AL2014,39,,B,5257,1908.191,480.009,474.038,222.729,237.966,73.239,366.442,420,4.54,1.14,1.13,0.5303071429,0.567,0.1743785714,0.8724809524,
AL2014,40,,B,5258,2187.008,516,528.034,240.674,231.525,75.18,342.473,426.011,5.13,1.21,1.24,0.5649478535,0.543,0.1764743164,0.8039064719,
